benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed0,lstm,CftsCOMTE,9,1,85.35585475778493,4.2083642008594895,0.254,0.0,0.1,0.5596237586476035,10,0,0.0,0.8486242945588067,0.0,0.9095276173776485,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,10,1,88.14634964491695,3.6583055299517078,0.219,0.0,0.07,0.5341769987189434,6,0,0.0,0.852826176998281,0.0,0.9104968984353153,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,11,1,80.3772849284312,3.490817399979505,0.286,0.0,0.16,0.5306293393561861,15,0,0.0,0.8479433185614588,0.0,0.9097837846375321,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,12,1,111.79434059135471,4.86220828243589,0.229,0.0,0.06,0.42495599292250075,2,0,0.0,0.8367656422527472,0.0,0.8921924168456935,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,13,1,113.86536537841627,5.15348125877639,0.269,0.0,0.12,0.5731725884373274,11,0,0.0,0.8343321159791804,0.0,0.8799161272459951,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,14,1,126.20727341945265,6.0851712205213975,0.291,0.0,0.13,0.6523156313939591,10,0,0.0,0.8290496570438485,0.0,0.8691642892257114,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,15,1,76.69525624637772,3.393922281149066,0.297,0.0,0.18,0.5260648957324815,16,0,0.0,0.8626878145701211,0.0,0.9127490458936469,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,16,1,77.03055471379834,4.089274006805797,0.275,0.0,0.12,0.6234013477258292,10,0,0.0,0.8509207886159795,0.0,0.9179774454710958,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,17,1,83.28549751723351,3.5608908147874954,0.266,0.0,0.14,0.6138831443122325,7,0,0.0,0.8597181383576622,0.0,0.9143411113790575,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,18,1,78.64935180791528,4.142751931984758,0.37,0.0,0.27,0.6876047911988427,24,0,0.0,0.850532172693567,0.0,0.9017059301097324,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,19,1,84.10741231274694,3.5492773692734567,0.224,0.0,0.08,0.5862391622148022,5,0,0.0,0.860384066185889,0.0,0.9152762344955245,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,20,1,68.81815670237562,3.2074997156171183,0.318,0.0,0.15,0.6076091084512242,15,0,0.0,0.861635036043592,0.0,0.922240992060993,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,21,1,125.35487189410554,5.4092858471990075,0.223,0.0,0.08,0.45167457541613143,6,0,0.0,0.8327236070159899,0.0,0.8751574383899857,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,22,1,126.95471600751961,5.61893951760791,0.202,0.0,0.08,0.8149135505049708,5,0,0.0,0.8334198484564209,0.0,0.8749167412180606,0.0,0.0
full_nl_seed0,lstm,CftsCOMTE,23,1,144.08514366442049,6.839404217394694,0.23,0.0,0.08,0.7402101364490581,7,0,0.0,0.8112743623783879,0.0,0.8564815405288948,0.0,0.0
